name,plant_id,category_id,description,price,quantity,is_available,image_url
VerdeLux Botanical Elixir,pln00001,cat001,"Indulge in the captivating embrace of nature with our exquisite VerdeLux Botanical Elixir. Crafted with meticulous care, this exceptional plant-based product captures the essence of lush, thriving gardens, bringing a touch of verdant luxury into your daily routine.",49.99,100,1,https://example.com/verdelux_elixir.jpg
Mystic Fern,pln00002,cat002,"Bring an aura of mystique into your living space with the elegant Mystic Fern. Its delicate fronds unfurl gracefully, creating an enchanting atmosphere reminiscent of ancient forests.",19.99,75,1,https://example.com/mystic_fern.jpg
Lavender Dreams Pillow,pln00003,cat003,"Drift into peaceful slumber with the soothing scent of our Lavender Dreams Pillow. Filled with organic lavender buds, this botanical pillow promotes relaxation and restful sleep.",29.99,50,1,https://example.com/lavender_pillow.jpg
Cactus Oasis Trio,pln00004,cat004,"Transform any corner into a desert oasis with our Cactus Oasis Trio. These low-maintenance succulents thrive in arid conditions, adding a touch of desert beauty to your space.",34.99,60,1,https://example.com/cactus_trio.jpg
Golden Pothos Vine,pln00005,cat005,"Elevate your interior decor with the lush tendrils of the Golden Pothos Vine. Its heart-shaped leaves cascade gracefully, making it a perfect choice for hanging baskets or shelves.",12.99,120,1,https://example.com/golden_pothos.jpg
Botanic Bliss Bath Salts,pln00006,cat006,"Immerse yourself in a rejuvenating bath experience with our Botanic Bliss Bath Salts. Infused with fragrant botanicals, these salts relax your muscles and provide a blissful soak.",9.99,200,1,https://example.com/botanic_bath_salts.jpg
Zen Garden Bonsai,pln00007,cat007,"Find tranquility and balance with our Zen Garden Bonsai. Sculpted with care, this miniature tree symbolizes harmony and serves as a focal point for meditation and mindfulness.",39.99,40,1,https://example.com/zen_garden_bonsai.jpg
Wildflower Seed Mix,pln00008,cat008,"Create a vibrant tapestry of colors in your garden with our Wildflower Seed Mix. These diverse and hardy blooms attract pollinators and bring a sense of natural beauty to your outdoor space.",7.99,300,1,https://example.com/wildflower_seeds.jpg
Bamboo Forest Room Divider,pln00009,cat009,"Divide your space with the elegant charm of our Bamboo Forest Room Divider. Crafted from sustainable bamboo, this divider brings the tranquility of a bamboo grove into your home.",89.99,25,1,https://example.com/bamboo_room_divider.jpg
Succulent Serenity Terrarium,pln00010,cat010,"Experience the serenity of a desert landscape with our Succulent Serenity Terrarium. Carefully arranged succulents and stones create a low-maintenance miniature world.",27.99,65,1,https://example.com/succulent_terrarium.jpg
